ABCI,POINT,A_RYB,A_BYT,A_OYP,B_POT,B_MYB,B_BOG,C_RB,C_OP,C_PG
-2,1,#BD0000,#C15400,#E25100,#C618F9,#EB1A4E,#211400,#D40000,#FF6E00,#B900C8
-1.99,0.9975,#BD0000,#C15400,#E35100,#C619F9,#EB1A4E,#221400,#D40000,#FF6E00,#B901C8
-1.98,0.995,#BE0000,#C15500,#E35100,#C71AF9,#EC1A4E,#231500,#D50100,#FF6F00,#BA02C9
-1.97,0.9925,#BE0000,#C15500,#E45200,#C71BF9,#EC1A4F,#231500,#D50100,#FF6F00,#BA02C9
-1.96,0.99,#BF0000,#C25500,#E45200,#C71BF9,#ED1B4F,#241600,#D50200,#FF7000,#BB03C9
-1.95,0.9875,#BF0000,#C25600,#E55200,#C71CFA,#ED1B4F,#251600,#D50200,#FF7000,#BB04CA
-1.94,0.985,#C00000,#C25600,#E55200,#C81DFA,#ED1B4F,#261700,#D60300,#FF7100,#BB05CA
-1.93,0.9825,#C00000,#C25600,#E65200,#C81EFA,#EE1B50,#271700,#D60300,#FF7100,#BC06CB
-1.92,0.98,#C10000,#C25700,#E75300,#C81FFA,#EE1B50,#281800,#D60300,#FF7200,#BC06CB
-1.91,0.9775,#C10000,#C25700,#E75300,#C920FA,#EF1B50,#281800,#D60400,#FF7200,#BD07CB
-1.9,0.975,#C20000,#C25700,#E85300,#C920FA,#EF1B50,#291900,#D70400,#FF7200,#BD08CC
-1.89,0.9725,#C20000,#C35800,#E85300,#C921FA,#EF1C50,#2A1900,#D70500,#FF7300,#BD09CC
-1.88,0.97,#C30000,#C35800,#E95300,#C922FA,#F01C51,#2B1A00,#D70500,#FF7300,#BE09CC
-1.87,0.9675,#C30000,#C35800,#EA5400,#CA23FB,#F01C51,#2C1A00,#D70600,#FF7400,#BE0ACD
-1.86,0.965,#C30000,#C35800,#EA5400,#CA24FB,#F11C51,#2C1B00,#D80600,#FF7400,#BF0BCD
-1.85,0.9625,#C40000,#C35900,#EB5400,#CA25FB,#F11C51,#2D1B00,#D80600,#FF7500,#BF0CCE
-1.84,0.96,#C40000,#C35900,#EB5400,#CA25FB,#F11C52,#2E1C00,#D80700,#FF7500,#BF0DCE
-1.83,0.9575,#C50000,#C35900,#EC5400,#CB26FB,#F21C52,#2F1C00,#D90700,#FF7600,#C00DCE
-1.82,0.955,#C50000,#C45A00,#EC5500,#CB27FB,#F21D52,#301D00,#D90800,#FF7600,#C00ECF
-1.81,0.9525,#C60000,#C45A00,#ED5500,#CB28FB,#F31D52,#311D00,#D90800,#FF7600,#C10FCF
-1.8,0.95,#C60000,#C45A00,#EE5500,#CC29FB,#F31D52,#311E00,#D90900,#FF7700,#C110CF
-1.79,0.9475,#C70000,#C45B00,#EE5500,#CC2AFC,#F31D53,#321E00,#DA0900,#FF7700,#C111D0
-1.78,0.945,#C70000,#C45B00,#EF5500,#CC2AFC,#F41D53,#331F00,#DA0A00,#FF7800,#C211D0
-1.77,0.9425,#C80000,#C45B00,#EF5600,#CC2BFC,#F41D53,#341F00,#DA0A00,#FF7800,#C212D0
-1.76,0.94,#C80000,#C45C00,#F05600,#CD2CFC,#F51D53,#352000,#DA0A00,#FF7900,#C313D1
-1.75,0.9375,#C90000,#C55C00,#F15601,#CD2DFC,#F51E54,#362001,#DB0B00,#FF7900,#C314D1
-1.74,0.935,#C90000,#C55C00,#F15601,#CD2EFC,#F51E54,#362001,#DB0B01,#FF7A00,#C314D2
-1.73,0.9325,#C90000,#C55D00,#F25601,#CE2FFC,#F61E54,#372101,#DB0C01,#FF7A00,#C415D2
-1.72,0.93,#CA0000,#C55D00,#F25701,#CE30FC,#F61E54,#382101,#DB0C01,#FF7B00,#C416D2
-1.71,0.9275,#CA0000,#C55D00,#F35701,#CE30FC,#F71E54,#392201,#DC0D01,#FF7B00,#C517D3
-1.7,0.925,#CB0000,#C55E00,#F35701,#CE31FD,#F71E55,#3A2201,#DC0D01,#FF7B00,#C518D3
-1.69,0.9225,#CB0000,#C55E00,#F45701,#CF32FD,#F71E55,#3A2301,#DC0D01,#FF7C00,#C518D3
-1.68,0.92,#CC0000,#C55E00,#F55701,#CF33FD,#F81E55,#3B2301,#DD0E01,#FF7C00,#C619D4
-1.67,0.9175,#CC0000,#C65F00,#F55801,#CF34FD,#F81F55,#3C2401,#DD0E01,#FF7D00,#C61AD4
-1.66,0.915,#CD0000,#C65F00,#F65801,#D035FD,#F91F55,#3D2401,#DD0F01,#FF7D00,#C71BD4
-1.65,0.9125,#CD0000,#C65F00,#F65801,#D035FD,#F91F56,#3E2501,#DD0F01,#FF7E00,#C71CD5
-1.64,0.91,#CE0000,#C66000,#F75801,#D036FD,#F91F56,#3F2501,#DE1001,#FF7E00,#C71CD5
-1.63,0.9075,#CE0000,#C66000,#F75801,#D037FD,#FA1F56,#3F2601,#DE1001,#FF7F00,#C81DD6
-1.62,0.905,#CE0000,#C66000,#F85901,#D138FE,#FA1F56,#402601,#DE1001,#FF7F00,#C81ED6
-1.61,0.9025,#CF0000,#C66000,#F95901,#D139FE,#FB1F57,#412701,#DE1101,#FF7F00,#C91FD6
-1.6,0.9,#CF0000,#C76100,#F95901,#D13AFE,#FB2057,#422701,#DF1101,#FF8000,#C91FD7
-1.59,0.8975,#D00000,#C76100,#FA5901,#D13AFE,#FB2057,#432801,#DF1201,#FF8000,#C920D7
-1.58,0.895,#D00000,#C76100,#FA5901,#D23BFE,#FC2057,#432801,#DF1201,#FF8100,#CA21D7
-1.57,0.8925,#D10000,#C76200,#FB5A01,#D23CFE,#FC2057,#442901,#DF1301,#FF8100,#CA22D8
-1.56,0.89,#D10000,#C76200,#FC5A01,#D23DFE,#FD2058,#452901,#E01301,#FF8200,#CB23D8
-1.55,0.8875,#D20000,#C76200,#FC5A01,#D33EFE,#FD2058,#462A01,#E01401,#FF8200,#CB23D9
-1.54,0.885,#D20000,#C76300,#FD5A01,#D33FFF,#FD2058,#472A01,#E01401,#FF8300,#CB24D9
-1.53,0.8825,#D30000,#C86300,#FD5A01,#D33FFF,#FE2158,#482B01,#E11401,#FF8300,#CC25D9
-1.52,0.88,#D30000,#C86300,#FE5B01,#D340FF,#FE2159,#482B01,#E11501,#FF8300,#CC26DA
